method,seed,episode,global_step,return,length,epsilon,loss_mean,moving_avg_50,device
dqn,2,83,1727,42.0,42,0.79491875,0.01765751265477212,19.92,cuda
dqn,2,84,1743,16.0,16,0.79301875,0.01989882258931175,19.94,cuda
dqn,2,85,1761,18.0,18,0.79088125,0.016733819463600714,19.82,cuda
dqn,2,86,1775,14.0,14,0.7892187500000001,0.018487513597522463,19.84,cuda
dqn,2,87,1785,10.0,10,0.78803125,0.01388558791950345,19.54,cuda
dqn,2,88,1806,21.0,21,0.7855375,0.019228150314163594,19.42,cuda
dqn,2,89,1817,11.0,11,0.78423125,0.020169639705934307,19.02,cuda
dqn,2,90,1836,19.0,19,0.781975,0.015753449087864475,18.08,cuda
dqn,2,91,1872,36.0,36,0.7777000000000001,0.018004967882815335,18.48,cuda
dqn,2,92,1887,15.0,15,0.77591875,0.01903976093356808,18.56,cuda
dqn,2,93,1906,19.0,19,0.7736625,0.019277039180068595,18.18,cuda
dqn,2,94,1916,10.0,10,0.772475,0.013332467945292591,18.1,cuda
dqn,2,95,1937,21.0,21,0.7699812500000001,0.015466668709580387,18.0,cuda
dqn,2,96,1989,52.0,52,0.76380625,0.015074025355995847,18.78,cuda
dqn,2,97,2022,33.0,33,0.7598875,0.09609325762104357,19.0,cuda
dqn,2,98,2036,14.0,14,0.758225,0.05718957246946437,18.82,cuda
dqn,2,99,2074,38.0,38,0.7537125,0.036685071346399034,19.24,cuda
dqn,2,100,2141,67.0,67,0.74575625,0.03185325752554545,20.38,cuda
dqn,2,101,2151,10.0,10,0.74456875,0.03809032738208771,20.34,cuda
dqn,2,102,2192,41.0,41,0.7397,0.032264774483514995,20.6,cuda
dqn,2,103,2206,14.0,14,0.7380375,0.027479884680360556,20.54,cuda
dqn,2,104,2272,66.0,66,0.7302,0.02675112721397344,21.4,cuda
dqn,2,105,2295,23.0,23,0.72746875,0.028727813482122576,21.58,cuda
dqn,2,106,2311,16.0,16,0.7255687500000001,0.029618917440529913,21.6,cuda
dqn,2,107,2322,11.0,11,0.7242625,0.027911663055419922,21.38,cuda
dqn,2,108,2360,38.0,38,0.71975,0.027032006777038698,21.9,cuda
dqn,2,109,2379,19.0,19,0.71749375,0.03389913476023235,22.12,cuda
dqn,2,110,2392,13.0,13,0.7159500000000001,0.01990680142234151,21.52,cuda
dqn,2,111,2404,12.0,12,0.7145250000000001,0.02920745829275499,21.5,cuda
dqn,2,112,2428,24.0,24,0.7116750000000001,0.023615386996728677,21.7,cuda
dqn,2,113,2442,14.0,14,0.7100124999999999,0.026948174594768455,21.8,cuda
dqn,2,114,2474,32.0,32,0.7062124999999999,0.0244423987751361,22.14,cuda
dqn,2,115,2507,33.0,33,0.7022937499999999,0.0668516565876251,22.54,cuda
dqn,2,116,2521,14.0,14,0.70063125,0.11060044302472047,22.52,cuda
dqn,2,117,2535,14.0,14,0.6989687499999999,0.051430942956358194,22.12,cuda
dqn,2,118,2580,45.0,45,0.6936249999999999,0.02864898890256882,22.62,cuda
dqn,2,119,2618,38.0,38,0.6891125,0.03295046698890234,23.08,cuda
dqn,2,120,2648,30.0,30,0.68555,0.028602602519094945,23.44,cuda
dqn,2,121,2676,28.0,28,0.682225,0.024811436297438507,23.74,cuda
dqn,2,122,2719,43.0,43,0.67711875,0.024307619563715403,24.38,cuda
dqn,2,123,2764,45.0,45,0.671775,0.02718590787715382,25.04,cuda
dqn,2,124,2787,23.0,23,0.66904375,0.02806402380456743,24.88,cuda
dqn,2,125,2801,14.0,14,0.66738125,0.02897683504436697,24.7,cuda
dqn,2,126,2814,13.0,13,0.6658375000000001,0.028741434717980716,24.58,cuda
dqn,2,127,2845,31.0,31,0.66215625,0.02708801020297312,24.88,cuda
dqn,2,128,2862,17.0,17,0.6601375,0.02543718575993005,25.0,cuda
dqn,2,129,2924,62.0,62,0.6527750000000001,0.027877781547666076,25.98,cuda
dqn,2,130,2938,14.0,14,0.6511125,0.02081032862354602,25.88,cuda
dqn,2,131,2979,41.0,41,0.64624375,0.02975809148217483,26.36,cuda
dqn,2,132,2998,19.0,19,0.6439874999999999,0.020951202727462117,26.26,cuda
dqn,2,133,3042,44.0,44,0.6387625000000001,0.09488384552638639,26.3,cuda
dqn,2,134,3075,33.0,33,0.6348437499999999,0.034369138944329636,26.64,cuda
dqn,2,135,3129,54.0,54,0.62843125,0.037385009384403624,27.36,cuda
dqn,2,136,3142,13.0,13,0.6268875,0.036282666958868504,27.34,cuda
dqn,2,137,3176,34.0,34,0.62285,0.03802698006963029,27.82,cuda
dqn,2,138,3215,39.0,39,0.61821875,0.024272667691827968,28.18,cuda
dqn,2,139,3271,56.0,56,0.61156875,0.029374040854496082,29.08,cuda
dqn,2,140,3284,13.0,13,0.610025,0.02876066337697781,28.96,cuda
dqn,2,141,3319,35.0,35,0.60586875,0.030602859506117446,28.94,cuda
dqn,2,142,3351,32.0,32,0.60206875,0.027684660439263098,29.28,cuda
dqn,2,143,3387,36.0,36,0.59779375,0.03274174330807808,29.62,cuda
dqn,2,144,3413,26.0,26,0.59470625,0.02869831041719478,29.94,cuda
dqn,2,145,3479,66.0,66,0.58686875,0.02624230734495954,30.84,cuda
dqn,2,146,3493,14.0,14,0.58520625,0.029486400108518347,30.08,cuda
dqn,2,147,3608,115.0,115,0.57155,0.05670392054497548,31.72,cuda
dqn,2,148,3642,34.0,34,0.5675125000000001,0.025040184120264125,32.12,cuda
dqn,2,149,3679,37.0,37,0.5631187500000001,0.028103574971995643,32.1,cuda
dqn,2,150,3694,15.0,15,0.5613375,0.02418100234741966,31.06,cuda
dqn,2,151,3728,34.0,34,0.5573,0.04142450869959943,31.54,cuda
dqn,2,152,3781,53.0,53,0.55100625,0.041146182788992826,31.78,cuda
dqn,2,153,3854,73.0,73,0.5423375,0.03480720405836832,32.96,cuda
dqn,2,154,3898,44.0,44,0.5371125,0.035197230902585114,32.52,cuda
dqn,2,155,3961,63.0,63,0.52963125,0.030528874358250982,33.32,cuda
dqn,2,156,3980,19.0,19,0.527375,0.029286979881458376,33.38,cuda
dqn,2,157,4145,165.0,165,0.5077812500000001,0.05111219644772284,36.46,cuda
dqn,2,158,4223,78.0,78,0.49851875,0.04065415606451913,37.26,cuda
dqn,2,159,4235,12.0,12,0.49709375,0.032246695909028254,37.12,cuda
dqn,2,160,4335,100.0,100,0.48521875000000003,0.04251999877858907,38.86,cuda
