method,seed,episode,global_step,return,length,epsilon,loss_mean,moving_avg_50,device
dqn,0,1,18,18.0,18,0.9978625,0.0,18.0,cuda
dqn,0,2,67,49.0,49,0.99204375,0.0,33.5,cuda
dqn,0,3,79,12.0,12,0.99061875,0.0,26.333333333333332,cuda
dqn,0,4,102,23.0,23,0.9878875,0.0,25.5,cuda
dqn,0,5,118,16.0,16,0.9859875,0.0,23.6,cuda
dqn,0,6,170,52.0,52,0.9798125,0.0,28.333333333333332,cuda
dqn,0,7,182,12.0,12,0.9783875,0.0,26.0,cuda
dqn,0,8,235,53.0,53,0.97209375,0.0,29.375,cuda
dqn,0,9,249,14.0,14,0.97043125,0.0,27.666666666666668,cuda
dqn,0,10,264,15.0,15,0.96865,0.0,26.4,cuda
dqn,0,11,276,12.0,12,0.967225,0.0,25.09090909090909,cuda
dqn,0,12,292,16.0,16,0.965325,0.0,24.333333333333332,cuda
dqn,0,13,310,18.0,18,0.9631875,0.0,23.846153846153847,cuda
dqn,0,14,346,36.0,36,0.9589125000000001,0.0,24.714285714285715,cuda
dqn,0,15,367,21.0,21,0.95641875,0.0,24.466666666666665,cuda
dqn,0,16,386,19.0,19,0.9541625,0.0,24.125,cuda
dqn,0,17,398,12.0,12,0.9527375,0.0,23.41176470588235,cuda
dqn,0,18,423,25.0,25,0.94976875,0.0,23.5,cuda
dqn,0,19,452,29.0,29,0.946325,0.0,23.789473684210527,cuda
dqn,0,20,473,21.0,21,0.94383125,0.0,23.65,cuda
dqn,0,21,487,14.0,14,0.94216875,0.0,23.19047619047619,cuda
dqn,0,22,534,47.0,47,0.9365875,0.0,24.272727272727273,cuda
dqn,0,23,568,34.0,34,0.93255,0.0,24.695652173913043,cuda
dqn,0,24,591,23.0,23,0.92981875,0.0,24.625,cuda
dqn,0,25,621,30.0,30,0.92625625,0.0,24.84,cuda
dqn,0,26,637,16.0,16,0.92435625,0.0,24.5,cuda
dqn,0,27,665,28.0,28,0.92103125,0.0,24.62962962962963,cuda
dqn,0,28,784,119.0,119,0.9069,0.0,28.0,cuda
dqn,0,29,798,14.0,14,0.9052375,0.0,27.517241379310345,cuda
dqn,0,30,811,13.0,13,0.90369375,0.0,27.033333333333335,cuda
dqn,0,31,821,10.0,10,0.9025062500000001,0.0,26.483870967741936,cuda
dqn,0,32,833,12.0,12,0.9010812500000001,0.0,26.03125,cuda
dqn,0,33,856,23.0,23,0.89835,0.0,25.939393939393938,cuda
dqn,0,34,887,31.0,31,0.89466875,0.0,26.08823529411765,cuda
dqn,0,35,907,20.0,20,0.89229375,0.0,25.914285714285715,cuda
dqn,0,36,936,29.0,29,0.88885,0.0,26.0,cuda
dqn,0,37,954,18.0,18,0.8867125,0.0,25.783783783783782,cuda
dqn,0,38,973,19.0,19,0.88445625,0.0,25.605263157894736,cuda
dqn,0,39,994,21.0,21,0.8819625,0.0,25.487179487179485,cuda
dqn,0,40,1004,10.0,10,0.880775,0.46752500534057617,25.1,cuda
dqn,0,41,1068,64.0,64,0.873175,0.04189832079600819,26.048780487804876,cuda
dqn,0,42,1101,33.0,33,0.8692562500000001,0.00046089737721062687,26.214285714285715,cuda
dqn,0,43,1120,19.0,19,0.867,0.0003564267317415215,26.046511627906977,cuda
dqn,0,44,1166,46.0,46,0.8615375000000001,0.00017946057580601243,26.5,cuda
dqn,0,45,1188,22.0,22,0.858925,0.00015847265273226765,26.4,cuda
dqn,0,46,1208,20.0,20,0.85655,0.00016073512542789104,26.26086956521739,cuda
dqn,0,47,1219,11.0,11,0.85524375,0.00014456512276824057,25.93617021276596,cuda
dqn,0,48,1270,51.0,51,0.8491875,0.00016561827806963622,26.458333333333332,cuda
dqn,0,49,1295,25.0,25,0.84621875,0.00012695704863290301,26.428571428571427,cuda
dqn,0,50,1331,36.0,36,0.84194375,0.00011330349212180913,26.62,cuda
dqn,0,51,1349,18.0,18,0.83980625,0.00011603539233975526,26.62,cuda
dqn,0,52,1397,48.0,48,0.83410625,0.0001159249989844587,26.6,cuda
dqn,0,53,1413,16.0,16,0.83220625,0.00010616306872179848,26.68,cuda
dqn,0,54,1428,15.0,15,0.830425,0.00013464358550360582,26.52,cuda
dqn,0,55,1443,15.0,15,0.82864375,0.00014864905266828525,26.5,cuda
