method,seed,episode,global_step,return,length,epsilon,loss_mean,moving_avg_50,device
double_dqn,1,1,17,17.0,17,0.99798125,0.0,17.0,cuda
double_dqn,1,2,39,22.0,22,0.99536875,0.0,19.5,cuda
double_dqn,1,3,62,23.0,23,0.9926375,0.0,20.666666666666668,cuda
double_dqn,1,4,77,15.0,15,0.99085625,0.0,19.25,cuda
double_dqn,1,5,87,10.0,10,0.98966875,0.0,17.4,cuda
double_dqn,1,6,107,20.0,20,0.98729375,0.0,17.833333333333332,cuda
double_dqn,1,7,127,20.0,20,0.98491875,0.0,18.142857142857142,cuda
double_dqn,1,8,149,22.0,22,0.98230625,0.0,18.625,cuda
double_dqn,1,9,163,14.0,14,0.98064375,0.0,18.11111111111111,cuda
double_dqn,1,10,177,14.0,14,0.97898125,0.0,17.7,cuda
double_dqn,1,11,188,11.0,11,0.977675,0.0,17.09090909090909,cuda
double_dqn,1,12,201,13.0,13,0.97613125,0.0,16.75,cuda
double_dqn,1,13,228,27.0,27,0.972925,0.0,17.53846153846154,cuda
double_dqn,1,14,256,28.0,28,0.9696,0.0,18.285714285714285,cuda
double_dqn,1,15,268,12.0,12,0.968175,0.0,17.866666666666667,cuda
double_dqn,1,16,289,21.0,21,0.96568125,0.0,18.0625,cuda
double_dqn,1,17,306,17.0,17,0.9636625,0.0,18.0,cuda
double_dqn,1,18,330,24.0,24,0.9608125,0.0,18.333333333333332,cuda
double_dqn,1,19,400,70.0,70,0.9525,0.0,21.05263157894737,cuda
double_dqn,1,20,420,20.0,20,0.950125,0.0,21.0,cuda
double_dqn,1,21,447,27.0,27,0.94691875,0.0,21.285714285714285,cuda
double_dqn,1,22,458,11.0,11,0.9456125,0.0,20.818181818181817,cuda
double_dqn,1,23,478,20.0,20,0.9432375,0.0,20.782608695652176,cuda
double_dqn,1,24,498,20.0,20,0.9408625,0.0,20.75,cuda
double_dqn,1,25,516,18.0,18,0.938725,0.0,20.64,cuda
double_dqn,1,26,531,15.0,15,0.93694375,0.0,20.423076923076923,cuda
double_dqn,1,27,552,21.0,21,0.93445,0.0,20.444444444444443,cuda
double_dqn,1,28,568,16.0,16,0.93255,0.0,20.285714285714285,cuda
double_dqn,1,29,599,31.0,31,0.92886875,0.0,20.655172413793103,cuda
double_dqn,1,30,628,29.0,29,0.9254249999999999,0.0,20.933333333333334,cuda
double_dqn,1,31,695,67.0,67,0.91746875,0.0,22.419354838709676,cuda
double_dqn,1,32,708,13.0,13,0.915925,0.0,22.125,cuda
double_dqn,1,33,729,21.0,21,0.91343125,0.0,22.09090909090909,cuda
double_dqn,1,34,743,14.0,14,0.91176875,0.0,21.852941176470587,cuda
double_dqn,1,35,770,27.0,27,0.9085625,0.0,22.0,cuda
double_dqn,1,36,813,43.0,43,0.9034562500000001,0.0,22.583333333333332,cuda
double_dqn,1,37,861,48.0,48,0.89775625,0.0,23.27027027027027,cuda
double_dqn,1,38,872,11.0,11,0.89645,0.0,22.94736842105263,cuda
double_dqn,1,39,887,15.0,15,0.89466875,0.0,22.743589743589745,cuda
double_dqn,1,40,902,15.0,15,0.8928875000000001,0.0,22.55,cuda
double_dqn,1,41,934,32.0,32,0.8890875,0.0,22.78048780487805,cuda
double_dqn,1,42,962,28.0,28,0.8857625,0.0,22.904761904761905,cuda
double_dqn,1,43,977,15.0,15,0.88398125,0.0,22.72093023255814,cuda
double_dqn,1,44,996,19.0,19,0.881725,0.0,22.636363636363637,cuda
double_dqn,1,45,1006,10.0,10,0.8805375,0.46228971651622225,22.355555555555554,cuda
double_dqn,1,46,1024,18.0,18,0.8784,0.10665385776923762,22.26086956521739,cuda
double_dqn,1,47,1058,34.0,34,0.8743624999999999,0.03544196311165305,22.51063829787234,cuda
double_dqn,1,48,1074,16.0,16,0.8724625,0.011582346836803481,22.375,cuda
double_dqn,1,49,1095,21.0,21,0.86996875,0.004937674894574143,22.346938775510203,cuda
double_dqn,1,50,1109,14.0,14,0.8683062500000001,0.004540819491791938,22.18,cuda
double_dqn,1,51,1136,27.0,27,0.8651,0.006663228436890576,22.38,cuda
double_dqn,1,52,1150,14.0,14,0.8634375000000001,0.003413140948396176,22.22,cuda
double_dqn,1,53,1173,23.0,23,0.86070625,0.00243546360972054,22.22,cuda
double_dqn,1,54,1185,12.0,12,0.85928125,0.0016479920013807714,22.16,cuda
double_dqn,1,55,1204,19.0,19,0.857025,0.0016042940857771196,22.34,cuda
double_dqn,1,56,1214,10.0,10,0.8558375,0.0014617486216593535,22.14,cuda
double_dqn,1,57,1232,18.0,18,0.8537,0.0013863305567712006,22.1,cuda
double_dqn,1,58,1243,11.0,11,0.8523937500000001,0.001430130246180025,21.88,cuda
double_dqn,1,59,1255,12.0,12,0.85096875,0.0014008865303670366,21.84,cuda
double_dqn,1,60,1275,20.0,20,0.84859375,0.0014954139245674015,21.96,cuda
double_dqn,1,61,1300,25.0,25,0.8456250000000001,0.0014770661247894168,22.24,cuda
double_dqn,1,62,1314,14.0,14,0.8439625,0.0014354120441047208,22.26,cuda
double_dqn,1,63,1327,13.0,13,0.84241875,0.0013828537507484166,21.98,cuda
double_dqn,1,64,1348,21.0,21,0.839925,0.0013653567432248522,21.84,cuda
double_dqn,1,65,1362,14.0,14,0.8382625,0.0013515925467280404,21.88,cuda
double_dqn,1,66,1381,19.0,19,0.8360062500000001,0.0012108797519957942,21.84,cuda
double_dqn,1,67,1393,12.0,12,0.83458125,0.0015162295167101547,21.74,cuda
double_dqn,1,68,1429,36.0,36,0.83030625,0.0016456993616884574,21.98,cuda
double_dqn,1,69,1444,15.0,15,0.828525,0.0014180871735637386,20.88,cuda
double_dqn,1,70,1492,48.0,48,0.822825,0.001450566336037203,21.44,cuda
double_dqn,1,71,1513,21.0,21,0.82033125,0.11258830500411846,21.32,cuda
double_dqn,1,72,1525,12.0,12,0.8189062500000001,0.04300400544889271,21.34,cuda
double_dqn,1,73,1542,17.0,17,0.8168875,0.03133690746172386,21.28,cuda
double_dqn,1,74,1553,11.0,11,0.81558125,0.024030962366272102,21.1,cuda
double_dqn,1,75,1568,15.0,15,0.8138,0.023678036717077095,21.04,cuda
double_dqn,1,76,1585,17.0,17,0.81178125,0.01989341519006035,21.08,cuda
double_dqn,1,77,1597,12.0,12,0.81035625,0.018161962817733485,20.9,cuda
double_dqn,1,78,1627,30.0,30,0.80679375,0.0225198266406854,21.18,cuda
double_dqn,1,79,1662,35.0,35,0.8026375,0.019429940756942543,21.26,cuda
double_dqn,1,80,1685,23.0,23,0.79990625,0.020650460708724415,21.14,cuda
double_dqn,1,81,1699,14.0,14,0.79824375,0.018093750778851763,20.08,cuda
double_dqn,1,82,1711,12.0,12,0.79681875,0.014224143815226853,20.06,cuda
double_dqn,1,83,1732,21.0,21,0.794325,0.019001648450891178,20.06,cuda
double_dqn,1,84,1749,17.0,17,0.79230625,0.016929333563894033,20.12,cuda
double_dqn,1,85,1759,10.0,10,0.79111875,0.0173882988281548,19.78,cuda
double_dqn,1,86,1774,15.0,15,0.7893375,0.014432595204561948,19.22,cuda
double_dqn,1,87,1804,30.0,30,0.785775,0.017293400410562754,18.86,cuda
double_dqn,1,88,1815,11.0,11,0.78446875,0.013883779904889789,18.86,cuda
double_dqn,1,89,1830,15.0,15,0.7826875,0.015751342413326104,18.86,cuda
double_dqn,1,90,1851,21.0,21,0.78019375,0.017195429874672777,18.98,cuda
double_dqn,1,91,1867,16.0,16,0.77829375,0.01503848802531138,18.66,cuda
double_dqn,1,92,1899,32.0,32,0.77449375,0.016213615890592337,18.74,cuda
double_dqn,1,93,1918,19.0,19,0.7722375,0.015271445711780535,18.82,cuda
double_dqn,1,94,1931,13.0,13,0.77069375,0.015320247540680261,18.7,cuda
double_dqn,1,95,1950,19.0,19,0.7684375,0.016522141492092295,18.88,cuda
double_dqn,1,96,1971,21.0,21,0.76594375,0.016130965380441575,18.94,cuda
double_dqn,1,97,2001,30.0,30,0.76238125,0.029390753828920424,18.86,cuda
double_dqn,1,98,2015,14.0,14,0.76071875,0.1436446879857353,18.82,cuda
double_dqn,1,99,2041,26.0,26,0.75763125,0.051146506546781614,18.92,cuda
double_dqn,1,100,2077,36.0,36,0.75335625,0.03412082698196173,19.36,cuda
double_dqn,1,101,2093,16.0,16,0.75145625,0.03244089789222926,19.14,cuda
double_dqn,1,102,2110,17.0,17,0.7494375,0.03599585461265901,19.2,cuda
double_dqn,1,103,2124,14.0,14,0.7477750000000001,0.030184204058189477,19.02,cuda
double_dqn,1,104,2153,29.0,29,0.74433125,0.028293322771787643,19.36,cuda
double_dqn,1,105,2195,42.0,42,0.73934375,0.029331388417631388,19.82,cuda
double_dqn,1,106,2221,26.0,26,0.7362562500000001,0.02827975168251074,20.14,cuda
double_dqn,1,107,2234,13.0,13,0.7347125,0.027188245654822543,20.04,cuda
double_dqn,1,108,2254,20.0,20,0.7323375000000001,0.023353199125267565,20.22,cuda
double_dqn,1,109,2276,22.0,22,0.729725,0.02505109010433609,20.42,cuda
double_dqn,1,110,2378,102.0,102,0.7176125,0.023478509104975006,22.06,cuda
double_dqn,1,111,2397,19.0,19,0.71535625,0.02053768331135966,21.94,cuda
double_dqn,1,112,2410,13.0,13,0.7138125,0.01920822887824705,21.92,cuda
double_dqn,1,113,2442,32.0,32,0.7100124999999999,0.021749733889009804,22.3,cuda
double_dqn,1,114,2456,14.0,14,0.70835,0.02537527391021805,22.16,cuda
double_dqn,1,115,2473,17.0,17,0.7063312500000001,0.02137901318971725,22.22,cuda
