method,seed,episode,global_step,return,length,epsilon,loss_mean,moving_avg_50,device
dqn,1,1,17,17.0,17,0.99798125,0.0,17.0,cuda
dqn,1,2,39,22.0,22,0.99536875,0.0,19.5,cuda
dqn,1,3,62,23.0,23,0.9926375,0.0,20.666666666666668,cuda
dqn,1,4,77,15.0,15,0.99085625,0.0,19.25,cuda
dqn,1,5,87,10.0,10,0.98966875,0.0,17.4,cuda
dqn,1,6,107,20.0,20,0.98729375,0.0,17.833333333333332,cuda
dqn,1,7,127,20.0,20,0.98491875,0.0,18.142857142857142,cuda
dqn,1,8,149,22.0,22,0.98230625,0.0,18.625,cuda
dqn,1,9,163,14.0,14,0.98064375,0.0,18.11111111111111,cuda
dqn,1,10,177,14.0,14,0.97898125,0.0,17.7,cuda
dqn,1,11,188,11.0,11,0.977675,0.0,17.09090909090909,cuda
dqn,1,12,201,13.0,13,0.97613125,0.0,16.75,cuda
dqn,1,13,228,27.0,27,0.972925,0.0,17.53846153846154,cuda
dqn,1,14,256,28.0,28,0.9696,0.0,18.285714285714285,cuda
dqn,1,15,268,12.0,12,0.968175,0.0,17.866666666666667,cuda
dqn,1,16,289,21.0,21,0.96568125,0.0,18.0625,cuda
dqn,1,17,306,17.0,17,0.9636625,0.0,18.0,cuda
dqn,1,18,330,24.0,24,0.9608125,0.0,18.333333333333332,cuda
dqn,1,19,400,70.0,70,0.9525,0.0,21.05263157894737,cuda
dqn,1,20,420,20.0,20,0.950125,0.0,21.0,cuda
dqn,1,21,447,27.0,27,0.94691875,0.0,21.285714285714285,cuda
dqn,1,22,458,11.0,11,0.9456125,0.0,20.818181818181817,cuda
dqn,1,23,478,20.0,20,0.9432375,0.0,20.782608695652176,cuda
dqn,1,24,498,20.0,20,0.9408625,0.0,20.75,cuda
dqn,1,25,516,18.0,18,0.938725,0.0,20.64,cuda
dqn,1,26,531,15.0,15,0.93694375,0.0,20.423076923076923,cuda
dqn,1,27,552,21.0,21,0.93445,0.0,20.444444444444443,cuda
dqn,1,28,568,16.0,16,0.93255,0.0,20.285714285714285,cuda
dqn,1,29,599,31.0,31,0.92886875,0.0,20.655172413793103,cuda
dqn,1,30,628,29.0,29,0.9254249999999999,0.0,20.933333333333334,cuda
dqn,1,31,695,67.0,67,0.91746875,0.0,22.419354838709676,cuda
dqn,1,32,708,13.0,13,0.915925,0.0,22.125,cuda
dqn,1,33,729,21.0,21,0.91343125,0.0,22.09090909090909,cuda
dqn,1,34,743,14.0,14,0.91176875,0.0,21.852941176470587,cuda
dqn,1,35,770,27.0,27,0.9085625,0.0,22.0,cuda
dqn,1,36,813,43.0,43,0.9034562500000001,0.0,22.583333333333332,cuda
dqn,1,37,861,48.0,48,0.89775625,0.0,23.27027027027027,cuda
dqn,1,38,872,11.0,11,0.89645,0.0,22.94736842105263,cuda
dqn,1,39,887,15.0,15,0.89466875,0.0,22.743589743589745,cuda
dqn,1,40,902,15.0,15,0.8928875000000001,0.0,22.55,cuda
dqn,1,41,934,32.0,32,0.8890875,0.0,22.78048780487805,cuda
dqn,1,42,962,28.0,28,0.8857625,0.0,22.904761904761905,cuda
dqn,1,43,977,15.0,15,0.88398125,0.0,22.72093023255814,cuda
dqn,1,44,996,19.0,19,0.881725,0.0,22.636363636363637,cuda
dqn,1,45,1006,10.0,10,0.8805375,0.46228971651622225,22.355555555555554,cuda
dqn,1,46,1024,18.0,18,0.8784,0.10530064772400591,22.26086956521739,cuda
dqn,1,47,1058,34.0,34,0.8743624999999999,0.01727728949695387,22.51063829787234,cuda
dqn,1,48,1074,16.0,16,0.8724625,0.002111284324200824,22.375,cuda
dqn,1,49,1104,30.0,30,0.8689,0.0012417267949786036,22.53061224489796,cuda
