method,seed,episode,global_step,return,length,epsilon,loss_mean,moving_avg_50,device
double_dqn,0,1,18,18.0,18,0.9978625,0.0,18.0,cuda
double_dqn,0,2,67,49.0,49,0.99204375,0.0,33.5,cuda
double_dqn,0,3,79,12.0,12,0.99061875,0.0,26.333333333333332,cuda
double_dqn,0,4,102,23.0,23,0.9878875,0.0,25.5,cuda
double_dqn,0,5,118,16.0,16,0.9859875,0.0,23.6,cuda
double_dqn,0,6,170,52.0,52,0.9798125,0.0,28.333333333333332,cuda
double_dqn,0,7,182,12.0,12,0.9783875,0.0,26.0,cuda
double_dqn,0,8,235,53.0,53,0.97209375,0.0,29.375,cuda
double_dqn,0,9,249,14.0,14,0.97043125,0.0,27.666666666666668,cuda
double_dqn,0,10,264,15.0,15,0.96865,0.0,26.4,cuda
double_dqn,0,11,276,12.0,12,0.967225,0.0,25.09090909090909,cuda
double_dqn,0,12,292,16.0,16,0.965325,0.0,24.333333333333332,cuda
double_dqn,0,13,310,18.0,18,0.9631875,0.0,23.846153846153847,cuda
double_dqn,0,14,346,36.0,36,0.9589125000000001,0.0,24.714285714285715,cuda
double_dqn,0,15,367,21.0,21,0.95641875,0.0,24.466666666666665,cuda
double_dqn,0,16,386,19.0,19,0.9541625,0.0,24.125,cuda
double_dqn,0,17,398,12.0,12,0.9527375,0.0,23.41176470588235,cuda
double_dqn,0,18,423,25.0,25,0.94976875,0.0,23.5,cuda
double_dqn,0,19,452,29.0,29,0.946325,0.0,23.789473684210527,cuda
double_dqn,0,20,473,21.0,21,0.94383125,0.0,23.65,cuda
double_dqn,0,21,487,14.0,14,0.94216875,0.0,23.19047619047619,cuda
double_dqn,0,22,534,47.0,47,0.9365875,0.0,24.272727272727273,cuda
double_dqn,0,23,568,34.0,34,0.93255,0.0,24.695652173913043,cuda
double_dqn,0,24,591,23.0,23,0.92981875,0.0,24.625,cuda
double_dqn,0,25,621,30.0,30,0.92625625,0.0,24.84,cuda
double_dqn,0,26,637,16.0,16,0.92435625,0.0,24.5,cuda
double_dqn,0,27,665,28.0,28,0.92103125,0.0,24.62962962962963,cuda
double_dqn,0,28,784,119.0,119,0.9069,0.0,28.0,cuda
double_dqn,0,29,798,14.0,14,0.9052375,0.0,27.517241379310345,cuda
double_dqn,0,30,811,13.0,13,0.90369375,0.0,27.033333333333335,cuda
double_dqn,0,31,821,10.0,10,0.9025062500000001,0.0,26.483870967741936,cuda
